TimeTag,LeftEyeX,LeftEyeY,LeftPupilDiameter,RightEyeX,RightEyeY,RightPupilDiameter,DigitalIn,LeftBlink,RightBlink,DigitalOut,LeftEyeFixationFlag,RightEyeFixationFlag,LeftEyeSaccadeFlag,RightEyeSaccadeFlag,MessageCode,LeftEyeRawX,LeftEyeRawY,RightEyeRawX,RightEyeRawY
12910.01350002,0,0,80.3125,0,0,79.1328125,16777215,0,0,0,1,1,0,0,0,-16.854248046875,-4.11767578125,-14.63330078125,-2.0595703125
12910.01400002,0,0,80.296875,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.855712890625,-4.123779296875,-14.63037109375,-2.054931640625
12910.01450002,0,0,80.296875,0,0,79.05859375,16777215,0,0,0,1,1,0,0,0,-16.85400390625,-4.1240234375,-14.617919921875,-2.04541015625
12910.01500002,0,0,80.296875,0,0,79.06640625,16777215,0,0,0,1,1,0,0,0,-16.845947265625,-4.12353515625,-14.619140625,-2.038330078125
12910.01550002,0,0,80.29296875,0,0,79.0625,16777215,0,0,0,1,1,0,0,0,-16.85107421875,-4.128662109375,-14.63134765625,-2.036865234375
12910.01600002,0,0,80.30078125,0,0,79.0546875,16777215,0,0,0,1,1,0,0,0,-16.84765625,-4.130126953125,-14.621826171875,-2.031982421875
12910.01650002,0,0,80.3125,0,0,79.05078125,16777215,0,0,0,1,1,0,0,0,-16.84765625,-4.1328125,-14.623291015625,-2.02587890625
12910.01700002,0,0,80.30078125,0,0,79.0625,16777215,0,0,0,1,1,0,0,0,-16.850341796875,-4.12841796875,-14.627197265625,-2.024169921875
12910.01750002,0,0,80.3046875,0,0,79.0546875,16777215,0,0,0,1,1,0,0,0,-16.855224609375,-4.12939453125,-14.632080078125,-2.018310546875
12910.01800002,0,0,80.3203125,0,0,79.046875,16777215,0,0,0,1,1,0,0,0,-16.87548828125,-4.150634765625,-14.62646484375,-2.012939453125
12910.01850002,0,0,80.32421875,0,0,79.03515625,16777215,0,0,0,1,1,0,0,0,-16.883056640625,-4.14208984375,-14.61669921875,-2.0107421875
12910.01900002,0,0,80.33203125,0,0,79.0390625,16777215,0,0,0,1,1,0,0,0,-16.885009765625,-4.147216796875,-14.639892578125,-1.997802734375
12910.01950002,0,0,80.32421875,0,0,79.03515625,16777215,0,0,0,1,1,0,0,0,-16.894287109375,-4.14111328125,-14.637939453125,-1.99072265625
12910.02000002,0,0,80.31640625,0,0,79.0234375,16777215,0,0,0,1,1,0,0,0,-16.89306640625,-4.138671875,-14.6396484375,-1.98193359375
12910.02050002,0,0,80.296875,0,0,79.02734375,16777215,0,0,0,1,1,0,0,0,-16.89697265625,-4.14501953125,-14.64306640625,-1.974609375
12910.02100002,0,0,80.3359375,0,0,79.015625,16777215,0,0,0,1,1,0,0,0,-16.88330078125,-4.15185546875,-14.640380859375,-1.967529296875
12910.02150002,0,0,80.30859375,0,0,79.015625,16777215,0,0,0,1,1,0,0,0,-16.892822265625,-4.154296875,-14.643310546875,-1.95947265625
12910.02200002,0,0,80.32421875,0,0,79.1171875,16777215,0,0,0,1,1,0,0,0,-16.881103515625,-4.148193359375,-14.643798828125,-2.015625
12910.02250002,0,0,80.31640625,0,0,79.09375,16777215,0,0,0,1,1,0,0,0,-16.876220703125,-4.157470703125,-14.6474609375,-2.005859375
12910.02300002,0,0,80.22265625,0,0,79.125,16777215,0,0,0,1,1,0,0,0,-16.90283203125,-4.071533203125,-14.649658203125,-1.99755859375
12910.02350002,0,0,80.203125,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.89404296875,-4.08984375,-14.647216796875,-1.98486328125
12910.02400002,0,0,80.2265625,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.892822265625,-4.10791015625,-14.64453125,-1.9697265625
12910.02450002,0,0,80.2265625,0,0,79.09375,16777215,0,0,0,1,1,0,0,0,-16.904541015625,-4.103759765625,-14.6396484375,-1.961181640625
12910.02500002,0,0,80.24609375,0,0,79.1015625,16777215,0,0,0,1,1,0,0,0,-16.910400390625,-4.12548828125,-14.655029296875,-1.950927734375
12910.02550002,0,0,80.24609375,0,0,79.0859375,16777215,0,0,0,1,1,0,0,0,-16.91064453125,-4.11669921875,-14.65625,-1.9482421875
12910.02600002,0,0,80.2578125,0,0,79.08984375,16777215,0,0,0,1,1,0,0,0,-16.920654296875,-4.131103515625,-14.660400390625,-1.93798828125
12910.02650002,0,0,80.23828125,0,0,79.10546875,16777215,0,0,0,1,1,0,0,0,-16.926513671875,-4.1357421875,-14.66748046875,-1.940673828125
12910.02700002,0,0,80.23046875,0,0,79.0859375,16777215,0,0,0,1,1,0,0,0,-16.923583984375,-4.131591796875,-14.666015625,-1.929443359375
12910.02750002,0,0,80.23828125,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.923095703125,-4.126953125,-14.68017578125,-1.933349609375
12910.02800002,0,0,80.25390625,0,0,79.19140625,16777215,0,0,0,1,1,0,0,0,-16.921875,-4.12744140625,-14.695068359375,-1.990234375
12910.02850002,0,0,80.25390625,0,0,79.16796875,16777215,0,0,0,1,1,0,0,0,-16.9296875,-4.135498046875,-14.68896484375,-1.9775390625
12910.02900002,0,0,80.2265625,0,0,79.171875,16777215,0,0,0,1,1,0,0,0,-16.92919921875,-4.13916015625,-14.688232421875,-1.978759765625
12910.02950002,0,0,80.23046875,0,0,79.14453125,16777215,0,0,0,1,1,0,0,0,-16.929443359375,-4.134765625,-14.684814453125,-1.96728515625
12910.03000002,0,0,80.23046875,0,0,79.1171875,16777215,0,0,0,1,1,0,0,0,-16.9306640625,-4.1376953125,-14.683837890625,-1.960205078125
12910.03050002,0,0,80.2265625,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.927490234375,-4.136474609375,-14.682373046875,-1.94873046875
12910.03100002,0,0,80.2421875,0,0,79.0859375,16777215,0,0,0,1,1,0,0,0,-16.923583984375,-4.145263671875,-14.675048828125,-1.9443359375
12910.03150002,0,0,80.2578125,0,0,79.09375,16777215,0,0,0,1,1,0,0,0,-16.912841796875,-4.145751953125,-14.667236328125,-1.943603515625
12910.03200002,0,0,80.265625,0,0,79.078125,16777215,0,0,0,1,1,0,0,0,-16.90966796875,-4.1435546875,-14.669189453125,-1.93798828125
12910.03250002,0,0,80.2734375,0,0,79.16796875,16777215,0,0,0,1,1,0,0,0,-16.9140625,-4.137939453125,-14.680908203125,-2.004150390625
12910.03300002,0,0,80.1484375,0,0,79.1796875,16777215,0,0,0,1,1,0,0,0,-16.893310546875,-4.046630859375,-14.679443359375,-2.007080078125
12910.03350002,0,0,80.17578125,0,0,79.16015625,16777215,0,0,0,1,1,0,0,0,-16.87939453125,-4.055419921875,-14.677001953125,-2.004150390625
12910.03400002,0,0,80.18359375,0,0,79.16015625,16777215,0,0,0,1,1,0,0,0,-16.900634765625,-4.056396484375,-14.665771484375,-2.001708984375
12910.03450002,0,0,80.19140625,0,0,79.171875,16777215,0,0,0,1,1,0,0,0,-16.915771484375,-4.058837890625,-14.670166015625,-2.0068359375
12910.03500002,0,0,80.20703125,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.91455078125,-4.06201171875,-14.660888671875,-1.998046875
12910.03550002,0,0,80.1328125,0,0,79.13671875,16777215,0,0,0,1,1,0,0,0,-16.9130859375,-4.02783203125,-14.653564453125,-1.988037109375
12910.03600002,0,0,80.1484375,0,0,79.1171875,16777215,0,0,0,1,1,0,0,0,-16.91162109375,-4.03125,-14.649658203125,-1.9794921875
12910.03650002,0,0,80.1796875,0,0,79.19921875,16777215,0,0,0,1,1,0,0,0,-16.90771484375,-4.040771484375,-14.6455078125,-2.036865234375
12910.03700002,0,0,80.1640625,0,0,79.15625,16777215,0,0,0,1,1,0,0,0,-16.9130859375,-4.049072265625,-14.63671875,-2.02978515625
12910.03750002,0,0,80.20703125,0,0,79.12109375,16777215,0,0,0,1,1,0,0,0,-16.9072265625,-4.0654296875,-14.635009765625,-2.01904296875
12910.03800002,0,0,80.19921875,0,0,79.140625,16777215,0,0,0,1,1,0,0,0,-16.90234375,-4.061279296875,-14.6162109375,-2.0166015625
12910.03850002,0,0,80.21875,0,0,79.21875,16777215,0,0,0,1,1,0,0,0,-16.892333984375,-4.07568359375,-14.6220703125,-2.080810546875
12910.03900002,0,0,80.23828125,0,0,79.19140625,16777215,0,0,0,1,1,0,0,0,-16.8837890625,-4.079345703125,-14.6259765625,-2.0703125
12910.03950002,0,0,80.2265625,0,0,79.16796875,16777215,0,0,0,1,1,0,0,0,-16.884033203125,-4.091552734375,-14.609130859375,-2.057861328125
12910.04000002,0,0,80.2265625,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.880615234375,-4.093017578125,-14.6005859375,-2.04150390625
12910.04050002,0,0,80.25,0,0,79.1484375,16777215,0,0,0,1,1,0,0,0,-16.87353515625,-4.096923828125,-14.591552734375,-2.0263671875
12910.04100002,0,0,80.25390625,0,0,79.140625,16777215,0,0,0,1,1,0,0,0,-16.86865234375,-4.103271484375,-14.591064453125,-2.02392578125
12910.04150002,0,0,80.23828125,0,0,79.13671875,16777215,0,0,0,1,1,0,0,0,-16.855224609375,-4.100830078125,-14.5859375,-2.015625
12910.04200002,0,0,80.24609375,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.8564453125,-4.102783203125,-14.592041015625,-2.005859375
12910.04250002,0,0,80.25,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.84326171875,-4.1025390625,-14.5966796875,-1.992919921875
12910.04300002,0,0,80.265625,0,0,79.14453125,16777215,0,0,0,1,1,0,0,0,-16.849853515625,-4.1044921875,-14.602294921875,-1.987060546875
12910.04350002,0,0,80.26171875,0,0,79.12109375,16777215,0,0,0,1,1,0,0,0,-16.835205078125,-4.107421875,-14.593505859375,-1.966064453125
12910.04400002,0,0,80.24609375,0,0,79.10546875,16777215,0,0,0,1,1,0,0,0,-16.8291015625,-4.114013671875,-14.591796875,-1.95166015625
12910.04450002,0,0,80.25390625,0,0,79.0703125,16777215,0,0,0,1,1,0,0,0,-16.829833984375,-4.115966796875,-14.58447265625,-1.9345703125
12910.04500002,0,0,80.24609375,0,0,79.08984375,16777215,0,0,0,1,1,0,0,0,-16.84375,-4.1337890625,-14.59228515625,-1.93408203125
12910.04550002,0,0,80.265625,0,0,79.08984375,16777215,0,0,0,1,1,0,0,0,-16.840087890625,-4.1455078125,-14.59814453125,-1.93310546875
12910.04600002,0,0,80.29296875,0,0,79.171875,16777215,0,0,0,1,1,0,0,0,-16.82568359375,-4.14599609375,-14.609375,-1.989013671875
12910.04650002,0,0,80.30859375,0,0,79.1484375,16777215,0,0,0,1,1,0,0,0,-16.819580078125,-4.1455078125,-14.5927734375,-1.96923828125
12910.04700002,0,0,80.22265625,0,0,79.125,16777215,0,0,0,1,1,0,0,0,-16.82861328125,-4.106201171875,-14.611328125,-1.951904296875
12910.04750002,0,0,80.21875,0,0,79.14453125,16777215,0,0,0,1,1,0,0,0,-16.8232421875,-4.11767578125,-14.609619140625,-1.95263671875
12910.04800002,0,0,80.20703125,0,0,79.15625,16777215,0,0,0,1,1,0,0,0,-16.828125,-4.12158203125,-14.609130859375,-1.939208984375
12910.04850002,0,0,80.2265625,0,0,79.140625,16777215,0,0,0,1,1,0,0,0,-16.817138671875,-4.115966796875,-14.616455078125,-1.939697265625
12910.04900002,0,0,80.21484375,0,0,79.1328125,16777215,0,0,0,1,1,0,0,0,-16.81005859375,-4.117431640625,-14.62646484375,-1.941650390625
12910.04950002,0,0,80.23828125,0,0,79.1171875,16777215,0,0,0,1,1,0,0,0,-16.820556640625,-4.1220703125,-14.6220703125,-1.94091796875
12910.05000002,0,0,80.24609375,0,0,79.125,16777215,0,0,0,1,1,0,0,0,-16.83251953125,-4.142578125,-14.63720703125,-1.943603515625
12910.05050002,0,0,80.24609375,0,0,79.10546875,16777215,0,0,0,1,1,0,0,0,-16.82470703125,-4.13671875,-14.626953125,-1.933837890625
12910.05100002,0,0,80.16796875,0,0,79.109375,16777215,0,0,0,1,1,0,0,0,-16.8212890625,-4.0908203125,-14.62353515625,-1.922607421875
12910.05150002,0,0,80.1796875,0,0,79.09375,16777215,0,0,0,1,1,0,0,0,-16.8359375,-4.0927734375,-14.61572265625,-1.91455078125
12910.05200002,0,0,80.171875,0,0,79.1953125,16777215,0,0,0,1,1,0,0,0,-16.82470703125,-4.103271484375,-14.62451171875,-1.983642578125
12910.05250002,0,0,80.1796875,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.832763671875,-4.112060546875,-14.63818359375,-1.974853515625
12910.05300002,0,0,80.1796875,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.841796875,-4.1181640625,-14.647705078125,-1.97607421875
12910.05350002,0,0,80.16796875,0,0,79.15234375,16777215,0,0,0,1,1,0,0,0,-16.849609375,-4.115234375,-14.639404296875,-1.974365234375
12910.05400002,0,0,80.19140625,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.85400390625,-4.10888671875,-14.64404296875,-1.97216796875
12910.05450002,0,0,80.20703125,0,0,79.15234375,16777215,0,0,0,1,1,0,0,0,-16.854248046875,-4.110107421875,-14.634765625,-1.97021484375
12910.05500002,0,0,80.19921875,0,0,79.12109375,16777215,0,0,0,1,1,0,0,0,-16.861572265625,-4.10546875,-14.634521484375,-1.97119140625
12910.05550002,0,0,80.1796875,0,0,79.1171875,16777215,0,0,0,1,1,0,0,0,-16.86962890625,-4.121337890625,-14.6328125,-1.970947265625
12910.05600002,0,0,80.19921875,0,0,79.109375,16777215,0,0,0,1,1,0,0,0,-16.87060546875,-4.12548828125,-14.631103515625,-1.965087890625
12910.05650002,0,0,80.22265625,0,0,79.1015625,16777215,0,0,0,1,1,0,0,0,-16.869873046875,-4.140625,-14.627685546875,-1.966064453125
12910.05700002,0,0,80.20703125,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.869140625,-4.144287109375,-14.630615234375,-1.96728515625
12910.05750002,0,0,80.203125,0,0,79.171875,16777215,0,0,0,1,1,0,0,0,-16.880615234375,-4.13623046875,-14.645263671875,-2.0341796875
12910.05800002,0,0,80.21875,0,0,79.16015625,16777215,0,0,0,1,1,0,0,0,-16.879638671875,-4.136962890625,-14.6396484375,-2.029052734375
12910.05850002,0,0,80.23046875,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.891845703125,-4.136474609375,-14.64990234375,-2.025634765625
12910.05900002,0,0,80.09765625,0,0,79.13671875,16777215,0,0,0,1,1,0,0,0,-16.875,-4.0458984375,-14.643310546875,-2.02001953125
12910.05950002,0,0,80.08984375,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.88330078125,-4.045166015625,-14.654296875,-2.017822265625
12910.06000002,0,0,80.12109375,0,0,79.1328125,16777215,0,0,0,1,1,0,0,0,-16.891845703125,-4.054443359375,-14.66259765625,-2.0166015625
12910.06050002,0,0,80.140625,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.889892578125,-4.057861328125,-14.65576171875,-2.013427734375
12910.06100002,0,0,80.140625,0,0,79.12109375,16777215,0,0,0,1,1,0,0,0,-16.889404296875,-4.079345703125,-14.658935546875,-2.0078125
12910.06150002,0,0,80.15625,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.886474609375,-4.0859375,-14.66064453125,-2.00634765625
12910.06200002,0,0,80.05859375,0,0,79.1796875,16777215,0,0,0,1,1,0,0,0,-16.875732421875,-4.005615234375,-14.661865234375,-2.0654296875
12910.06250002,0,0,80.12109375,0,0,79.19140625,16777215,0,0,0,1,1,0,0,0,-16.884033203125,-4.01904296875,-14.6630859375,-2.065673828125
12910.06300002,0,0,80.12109375,0,0,79.1796875,16777215,0,0,0,1,1,0,0,0,-16.8916015625,-4.031982421875,-14.64990234375,-2.062744140625
12910.06350002,0,0,80.13671875,0,0,79.1640625,16777215,0,0,0,1,1,0,0,0,-16.8955078125,-4.03466796875,-14.656982421875,-2.0576171875
12910.06400002,0,0,80.140625,0,0,79.16015625,16777215,0,0,0,1,1,0,0,0,-16.88330078125,-4.0517578125,-14.655517578125,-2.04638671875
12910.06450002,0,0,80.140625,0,0,79.15234375,16777215,0,0,0,1,1,0,0,0,-16.8818359375,-4.050537109375,-14.64404296875,-2.04052734375
12910.06500002,0,0,80.15234375,0,0,79.14453125,16777215,0,0,0,1,1,0,0,0,-16.879150390625,-4.065673828125,-14.656494140625,-2.032470703125
12910.06550002,0,0,80.19140625,0,0,79.12890625,16777215,0,0,0,1,1,0,0,0,-16.88037109375,-4.08251953125,-14.65185546875,-2.034912109375
12910.06600002,0,0,80.19140625,0,0,79.12890625,16777215,0,0,0,1,1,0,0,0,-16.88720703125,-4.103515625,-14.649169921875,-2.0341796875
12910.06650002,0,0,80.11328125,0,0,79.11328125,16777215,0,0,0,1,1,0,0,0,-16.877685546875,-4.038818359375,-14.651611328125,-2.035400390625
12910.06700002,0,0,80.14453125,0,0,79.109375,16777215,0,0,0,1,1,0,0,0,-16.87841796875,-4.05859375,-14.66552734375,-2.0302734375
12910.06750002,0,0,80.125,0,0,79.1015625,16777215,0,0,0,1,1,0,0,0,-16.8798828125,-4.061767578125,-14.663818359375,-2.02978515625
12910.06800002,0,0,80.08984375,0,0,79.1015625,16777215,0,0,0,1,1,0,0,0,-16.865966796875,-3.997802734375,-14.656005859375,-2.03466796875
12910.06850002,0,0,80.08984375,0,0,79.08984375,16777215,0,0,0,1,1,0,0,0,-16.87158203125,-4.017822265625,-14.65380859375,-2.0380859375
12910.06900002,0,0,80.109375,0,0,79.0703125,16777215,0,0,0,1,1,0,0,0,-16.869384765625,-4.04736328125,-14.656494140625,-2.036865234375
12910.06950002,0,0,80.10546875,0,0,79.08203125,16777215,0,0,0,1,1,0,0,0,-16.869873046875,-4.052490234375,-14.66357421875,-2.033203125
12910.07000002,0,0,80.10546875,0,0,79.046875,16777215,0,0,0,1,1,0,0,0,-16.858642578125,-4.065673828125,-14.6611328125,-2.0390625
12910.07050002,0,0,80.12890625,0,0,79.05859375,16777215,0,0,0,1,1,0,0,0,-16.85986328125,-4.078857421875,-14.658935546875,-2.0400390625
12910.07100002,0,0,80.140625,0,0,79.06640625,16777215,0,0,0,1,1,0,0,0,-16.85986328125,-4.087646484375,-14.669677734375,-2.044921875
12910.07150002,0,0,80.140625,0,0,79.0625,16777215,0,0,0,1,1,0,0,0,-16.86279296875,-4.09423828125,-14.6640625,-2.045654296875
12910.07200002,0,0,80.17578125,0,0,79.04296875,16777215,0,0,0,1,1,0,0,0,-16.862060546875,-4.108642578125,-14.666748046875,-2.0498046875
12910.07250002,0,0,80.2265625,0,0,79.015625,16777215,0,0,0,1,1,0,0,0,-16.8662109375,-4.1240234375,-14.654052734375,-2.051513671875
12910.07300002,0,0,80.2421875,0,0,79,16777215,0,0,0,1,1,0,0,0,-16.861083984375,-4.12548828125,-14.65087890625,-2.05322265625
12910.07350002,0,0,80.26171875,0,0,79,16777215,0,0,0,1,1,0,0,0,-16.86962890625,-4.139892578125,-14.65576171875,-2.054443359375
12910.07400002,0,0,80.171875,0,0,79.10546875,16777215,0,0,0,1,1,0,0,0,-16.861328125,-4.0771484375,-14.664306640625,-2.1044921875
12910.07450002,0,0,80.16796875,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.855712890625,-4.086181640625,-14.6630859375,-2.1064453125
12910.07500002,0,0,80.19921875,0,0,79.09765625,16777215,0,0,0,1,1,0,0,0,-16.854248046875,-4.09521484375,-14.658935546875,-2.10009765625
